# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786141386.853,0,0,0,24134476,?
1786141387.354,0,0,0,23984028,?
1786141387.855,113568,3999792,0,23984180,48
1786141388.355,114032,4001476,0,23983480,47
# MARK 1786141388.405 call:load_project:{"path": "/tmp/claude-1001/-home-ricky-personal-repos-rs-cam/0934e428-3a02-4818-b682-76c62c03a29a/scratchpad/b1/wanaka_copy.toml"}
1786141388.856,115384,4001488,0,23966184,48
1786141389.358,190460,4074404,0,23894480,48
# MARK 1786141389.380 call:list_toolpaths:{}
1786141389.858,166896,4053172,0,23890548,48
# MARK 1786141390.133 generate_all:begin
# MARK 1786141390.133 call:generate_all:{"fixpoint": true, "simulation_resolution_mm": 0.1, "timeout_s": 2700}
1786141390.359,294384,5638884,0,23780248,72
1786141390.860,311936,5638884,0,23769996,72
1786141391.361,318364,5638884,0,23759088,72
1786141391.862,318372,5638884,0,23762108,72
1786141392.363,318396,5638884,0,23752512,72
1786141392.864,318448,5638884,0,23744200,72
1786141393.365,318644,5638884,0,23747064,72
1786141393.868,318720,5638884,0,23748816,72
1786141394.370,318768,5638884,0,23747200,72
1786141394.871,318784,5638884,0,23735268,72
1786141395.372,319024,5638884,0,23735324,72
1786141395.872,324028,5638884,0,23735116,72
1786141396.373,324292,5638884,0,23749912,72
1786141396.873,324448,5638884,0,23754920,72
1786141397.373,495652,5790124,0,23611296,72
1786141397.874,788404,6134552,0,23199792,72
1786141398.374,788404,6134552,0,23200100,72
1786141398.875,793864,6134552,0,23194488,72
1786141399.375,823988,6200088,0,23136884,72
1786141399.875,1647860,7140848,0,22072552,72
1786141400.376,1876444,7386808,0,21797000,71
1786141400.877,1876444,7386808,0,21793236,71
1786141401.377,2105964,7624360,0,21539204,71
1786141401.878,2121408,7624360,0,21516580,71
1786141402.378,2188088,7673648,0,21447888,71
1786141402.878,2188312,7673648,0,21457988,71
1786141403.379,2188340,7673648,0,21459200,71
1786141403.879,2188340,7673648,0,21480164,71
1786141404.380,2188340,7673648,0,21313824,71
1786141404.880,2188340,7673648,0,21341452,71
1786141405.381,2188340,7673648,0,21340744,71
1786141405.882,2188340,7673648,0,21366832,71
1786141406.382,2188404,7673648,0,21366836,71
1786141406.883,2188404,7673648,0,21390760,71
1786141407.384,2188404,7673648,0,21351024,71
1786141407.885,2188404,7673648,0,21380268,71
1786141408.385,2188404,7673648,0,21378744,71
1786141408.886,2188468,7673648,0,21425196,71
1786141409.387,2188468,7673648,0,21427228,71
1786141409.887,2188468,7673648,0,21462572,71
1786141410.388,2188468,7673648,0,21459864,71
1786141410.892,2188468,7673648,0,21485448,71
1786141411.393,2188468,7673648,0,21486660,71
1786141411.893,2188468,7673648,0,21521348,71
1786141412.394,2188532,7673648,0,21525028,71
1786141412.894,2188532,7673648,0,21560292,71
1786141413.395,2188532,7673648,0,21567312,71
1786141413.895,2188532,7673648,0,21625620,71
1786141414.396,2188532,7673648,0,21638496,71
1786141414.897,2188532,7673648,0,21657404,71
1786141415.398,2188596,7673648,0,21657404,71
1786141415.899,2188596,7673648,0,21698932,71
1786141416.400,2188596,7673648,0,21715812,71
1786141416.901,2188596,7673648,0,21756108,71
1786141417.401,2188596,7673648,0,21756228,71
1786141417.902,2188596,7673648,0,21783012,71
1786141418.403,2188596,7673648,0,21784032,71
